
==========
== CUDA ==
==========

CUDA Version 12.8.1

Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.

WARNING: The NVIDIA Driver was not detected.  GPU functionality will not be available.
   Use the NVIDIA Container Toolkit to start this container with GPU support; see
   https://docs.nvidia.com/datacenter/cloud-native/ .

adduser	3.137ubuntu1
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.5
libssl3t64:amd64	3.0.13-0ubuntu3.5
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libsystemd0:amd64	255.4-1ubuntu8.4
libtasn1-6:amd64	4.19.0-3build1
libtinfo6:amd64	6.4+20240113-1ubuntu2
libudev1:amd64	255.4-1ubuntu8.4
libunistring5:amd64	1.1-2build1
libuuid1:amd64	2.39.3-9ubuntu6.2
libvulkan1:amd64	1.3.275.0-1build1
libx11-6:amd64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-xcb1:amd64	2:1.8.7-1build1
libxau6:amd64	1:1.0.9-1build6
libxcb-dri3-0:amd64	1.15-1ubuntu2
libxcb-glx0:amd64	1.15-1ubuntu2
libxcb-present0:amd64	1.15-1ubuntu2
libxcb-randr0:amd64	1.15-1ubuntu2
libxcb-shm0:amd64	1.15-1ubuntu2
libxcb-sync1:amd64	1.15-1ubuntu2
libxcb-xfixes0:amd64	1.15-1ubuntu2
libxcb1:amd64	1.15-1ubuntu2
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libxext6:amd64	2:1.3.4-1build2
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxrender1:amd64	1:0.9.10-1.1build1
libxshmfence1:amd64	1.3-1build5
libxxf86vm1:amd64	1:1.1.4-1build4
libxxhash0:amd64	0.8.2-2build1
libzstd1:amd64	1.5.5+dfsg2-2build1.1
login	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1
mawk	1.3.4.20240123-1build1
mesa-libgallium:amd64	25.2.8-0ubuntu0.24.04.2
mount	2.39.3-9ubuntu6.2
ncurses-base	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2
openssl	3.0.13-0ubuntu3.5
passwd	1:4.13+dfsg1-4ubuntu3.2
perl-base	5.38.2-3.2build2
pinentry-curses	1.2.1-3ubuntu5
procps	2:4.0.4-4ubuntu3.2
readline-common	8.2-4build1
sed	4.9-2build1
sensible-utils	0.0.22
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3build1
ubuntu-keyring	2023.11.28.1
unminimize	0.2.1
util-linux	2.39.3-9ubuntu6.2
x11-common	1:7.7+23ubuntu3
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.1
